id,name,summary,space,description,neighborhood_overview,notes,transit,host_about,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,amenities_count,price_float,sd,cf,ep,weekly_price_float,monthly_price_float,host_is_super_host,host_response_rate_float,review_true_score,cancel_policy_code,property_code,neighbourhood_code,room_code,zipcode_code
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
6361863.0,7.0,44.0,28.0,173.0,111.0,69.0,106.0,44.0,1.0,1.0,47.637517345449275,-122.36081167446434,2.0,1.0,1.0,1.0,2.0,2.0,1125.0,44.0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,5.64,16.0,145.0,100.0,30.0,10.0,1015.0,4410.18,0.0,1.0,5.3016,1,1,13,1,15
8105221.0,7.0,45.0,70.0,188.0,67.0,0.0,23.0,71.0,1.0,1.0,47.636874178021394,-122.37227171191186,2.0,1.0,1.0,1.0,1.0,1.0,1125.0,10.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.5,12.0,80.0,0.0,0.0,0.0,560.0,2433.2,0.0,0.7,2.5,0,14,13,2,15
3269390.0,4.0,44.0,181.0,173.0,96.0,22.0,42.0,0.0,3.0,3.0,47.632562742655686,-122.36722284674143,2.0,1.0,0.0,1.0,1.0,3.0,1125.0,77.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,4.12,18.0,95.0,200.0,60.0,0.0,665.0,2889.42,1.0,1.0,4.0376,1,10,13,1,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
9282409.0,7.0,47.0,32.0,97.0,0.0,0.0,0.0,0.0,1.0,1.0,47.63263390932941,-122.36931844777416,2.0,2.0,1.0,1.0,1.0,2.0,1125.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.3,12.0,85.0,0.0,0.0,0.0,450.0,1955.25,0.0,1.0,1.3,1,10,13,2,15
8095168.0,7.0,89.0,164.0,193.0,47.0,0.0,25.0,59.0,2.0,2.0,47.63260003819553,-122.3699524341257,2.0,1.0,1.0,1.0,1.0,1.0,1125.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,0.25,17.0,70.0,0.0,20.0,0.0,490.0,2129.05,0.0,0.0,0.25,0,1,13,2,15
2746782.0,5.0,42.0,23.0,184.0,25.0,22.0,22.0,63.0,5.0,5.0,47.64105215050513,-122.37508173306395,2.0,1.0,0.0,1.0,1.0,2.0,14.0,109.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,5.0,5.24,8.0,90.0,150.0,25.0,0.0,540.0,2346.3,1.0,1.0,5.082800000000001,2,1,13,1,15
6424982.0,4.0,36.0,39.0,168.0,51.0,33.0,28.0,45.0,1.0,1.0,47.63140094589966,-122.3676901333062,2.0,1.0,1.0,1.0,2.0,1.0,6.0,52.0,92.0,9.0,9.0,10.0,10.0,10.0,9.0,1.0,7.06,10.0,80.0,0.0,0.0,15.0,560.0,2433.2,0.0,1.0,6.4952,0,10,13,2,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
